state,TotalDepDelay,TotalArrDelay,TotalCarrierDelay,TotalWeatherDelay,TotalNASDelay,TotalSecurityDelay,TotalLateAircraftDelay,MostTimeDelayReason
PA,7047628,5764206,2083974,369452,2939399,9645,3303743,TotalLateAircraftDelay
TX,22872713,20002142,7063341,2505594,7286430,73050,10190595,TotalLateAircraftDelay
NM,836003,476953,226208,31546,180580,1244,473356,TotalLateAircraftDelay
GA,18127736,16196045,6772628,1882456,4748461,16371,6113325,TotalCarrierDelay
MA,4114054,3646971,1137773,425436,2021003,9731,1900089,TotalNASDelay
CA,19763098,15240494,7486094,497898,5278554,82060,10081812,TotalLateAircraftDelay
NJ,7236434,6792558,1882582,356513,2812450,29327,3924012,TotalLateAircraftDelay
AK,1296193,1138844,477932,43518,206723,18570,910699,TotalLateAircraftDelay
LA,1791769,1711176,566676,148535,800309,4023,881983,TotalLateAircraftDelay
NY,11733508,11615905,3616603,1253686,6171781,31276,5505354,TotalNASDelay
IA,659578,619714,246019,52609,339368,635,349844,TotalLateAircraftDelay
FL,13715650,11470317,3798835,855105,6120644,28010,6214028,TotalLateAircraftDelay
CO,7356905,6948860,2738897,538134,2019129,14586,3854753,TotalLateAircraftDelay
WI,1374177,1363990,502480,114916,839340,1582,647412,TotalNASDelay
NC,6742171,5842442,2182357,341297,3048630,7814,2623417,TotalNASDelay
MI,5468147,6229619,2866126,544448,2724672,11773,1594665,TotalCarrierDelay
CT,811470,594874,234852,63137,483735,3636,365737,TotalNASDelay
ME,477353,436190,181540,62090,288483,1175,122340,TotalNASDelay
AL,1098761,1011136,397994,137145,502719,2886,469035,TotalNASDelay
MT,196888,165590,196505,46066,88662,2648,189406,TotalCarrierDelay
ND,144257,171757,93604,20117,94101,465,86280,TotalNASDelay
MN,3901804,4429802,2149016,401575,1959429,2577,1093081,TotalCarrierDelay
WA,3649220,3138436,1776040,70915,973643,19162,1410036,TotalCarrierDelay
IL,21654198,18299746,6039109,1245047,5639917,15424,10895479,TotalLateAircraftDelay
TN,3710562,3230291,1369417,267148,1512964,4786,1579269,TotalLateAircraftDelay
ID,320032,246391,170353,40416,127629,1413,242737,TotalLateAircraftDelay
VT,268504,287091,94555,21842,185802,1358,96190,TotalNASDelay
MD,3298654,2150427,853046,171702,898443,10560,1563246,TotalLateAircraftDelay
SC,1414940,1231292,508028,121989,726905,2806,535544,TotalNASDelay
OH,3607648,3285510,1217458,273001,2194320,4032,1688527,TotalNASDelay
UT,2695844,2278017,1798572,184822,712396,8909,932346,TotalCarrierDelay
VA,1600384,1441630,492308,120922,909006,2973,634154,TotalNASDelay
WV,128457,98460,67333,23316,72912,253,24047,TotalNASDelay
WY,141642,117622,87208,26445,38420,1078,90258,TotalLateAircraftDelay
KY,4105193,3254504,1866737,499477,1865177,18300,822112,TotalCarrierDelay
DC,5859038,5251249,2161028,432785,2662228,17511,2693824,TotalLateAircraftDelay
NV,6527718,4735623,1851294,115773,1444687,22322,3284498,TotalLateAircraftDelay
OR,1463298,1155564,633649,36483,457379,5589,753091,TotalLateAircraftDelay
IN,1325829,1133914,447588,117395,769378,1541,631641,TotalNASDelay
AZ,6274877,4130706,2562054,158639,1430628,23410,2219733,TotalCarrierDelay
SD,223855,193687,94877,28493,114933,1596,115250,TotalLateAircraftDelay
AR,1062951,947050,326340,80684,413027,1406,521612,TotalLateAircraftDelay
MS,616302,558082,203272,55581,251958,1537,285182,TotalLateAircraftDelay
HI,85214,-8894,593699,10402,174107,3272,523330,TotalCarrierDelay
KS,349172,322396,118939,28173,206395,27,145734,TotalNASDelay
DE,10739,10201,5399,1557,6213,104,1156,TotalNASDelay
OK,1160708,937355,341193,101985,391430,3028,627339,TotalLateAircraftDelay
NE,731752,604051,245056,55811,342539,758,342259,TotalNASDelay
MO,3455402,2596614,932752,181902,1349338,4292,1768608,TotalLateAircraftDelay
NH,611564,442924,165940,49112,315997,1223,263209,TotalNASDelay
RI,763733,427842,147489,58223,401677,1416,337159,TotalNASDelay
